OrderID,Date,CustomerName,Email,Product,Price,Country
RS-1724458843,2024-04-14,Ange-Emmanuel Boni,ange.boni@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458844,2024-02-23,Joana Monteiro,joana.monteiro@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458845,2023-09-17,Bello Garba,bello.garba@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458846,2024-08-18,Fatimata Sawadogo,fatimata.sawadogo@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458847,2024-05-05,Akofa Lawson,akofa.lawson@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458848,2024-01-09,Dayo Johnson,dayo.johnson@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458849,2023-10-02,Makan Konaté,makan.konate@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458850,2024-07-28,Aissatou Diallo,aissatou.diallo@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458851,2024-06-11,Thierry Gnago,thierry.gnago@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458852,2024-03-03,Telma Correia,telma.correia@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458853,2023-12-09,Sani Oumarou,sani.oumarou@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458854,2024-08-28,Issouf Compaoré,issouf.compaore@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458855,2024-04-30,Ama Gbogbo,ama.gbogbo@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458856,2024-02-01,Abiodun Oke,abiodun.oke@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458857,2023-11-28,Korotoumou Sidibé,korotoumou.sidibe@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458858,2024-07-04,Modou Lo,modou.lo@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458859,2024-05-18,Hamed Ouattara,hamed.ouattara@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458860,2024-01-14,Isabel da Silva,isabel.dasilva@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458861,2023-10-21,Zara Moussa,zara.moussa@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458862,2024-08-11,Patrice Ilboudo,patrice.ilboudo@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458863,2024-06-21,Edem d'Almeida,edem.dalmeida@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458864,2024-03-09,Yemi Adedayo,yemi.adedayo@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458865,2023-12-14,Boubacar Keita,boubacar.keita@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458866,2024-07-18,Coumba Diouf,coumba.diouf@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458867,2024-05-01,Didier Zokora,didier.zokora@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458868,2024-02-28,Jair Fernandes,jair.fernandes@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458869,2023-09-09,Halima Adamou,halima.adamou@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458870,2024-08-02,Abdoul Tapsoba,abdoul.tapsoba@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458871,2024-06-08,Afi Adjaho,afi.adjaho@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458872,2024-03-28,Bolanle Ojo,bolanle.ojo@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458873,2023-11-08,Sidi Diarra,sidi.diarra@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458874,2024-07-24,Aminata Sow,aminata.sow@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458875,2024-05-29,Serge Aurier,serge.aurier@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458876,2024-01-24,Nuno Gomes,nuno.gomes@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458877,2023-10-18,Omar Djibo,omar.djibo@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458878,2024-08-25,Sibiri Traoré,sibiri.traore@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458879,2024-04-18,Folly Ayivi,folly.ayivi@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458880,2024-02-15,Ifeoma Okafor,ifeoma.okafor@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458881,2023-12-01,Tenin Diawara,tenin.diawara@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458882,2024-07-11,Khadija Thiam,khadija.thiam@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458883,2024-06-15,Armand Boka,armand.boka@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458884,2024-03-07,Catia Mendes,catia.mendes@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458885,2023-12-28,Rachida Ousmane,rachida.ousmane@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458886,2024-08-16,Nafissatou Yameogo,nafissatou.yameogo@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458887,2024-04-28,Yao Gnininvi,yao.gnininvi@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458888,2024-01-11,Chigozie Eze,chigozie.eze@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458889,2023-10-25,Mahamadou Maiga,mahamadou.maiga@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458890,2024-07-06,Lamine Gassama,lamine.gassama@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458891,2024-05-09,Esther Kalou,esther.kalou@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458892,2024-02-05,Flavio Pinto,flavio.pinto@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458893,2023-11-18,Amadou Issaka,amadou.issaka@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458894,2024-08-09,Aristide Bancé,aristide.bance@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458895,2024-06-03,Dédé Wilson,dede.wilson@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458896,2024-03-18,Simbo Ayodele,simbo.ayodele@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458897,2023-12-21,Astou N'diaye,astou.ndiaye@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458898,2024-07-13,Sadio Mané,sadio.mane@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458899,2024-04-04,Franck Kessié,franck.kessie@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458900,2024-02-20,Elisa Varela,elisa.varela@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724459001,2023-09-30,Idrissa Seyni,idrissa.seyni@example.com,PACKRICSTREAMING,3900,Niger
